timestamp,open,high,low,close,volume
2020-02-19,282.93,286.86,251.84,258.8,2751.43928
2020-02-20,257.85,264.13,246.04,257.81,2939.15436
2020-02-21,257.0,267.98,254.22,266.54,669.49191
2020-02-22,264.44,266.67,256.36,261.81,460.38273
2020-02-23,262.04,275.26,261.11,274.94,996.07438
2020-02-24,274.94,276.98,257.5,265.83,1533.77477
2020-02-25,265.92,266.2,244.64,246.36,1022.81352
2020-02-26,247.49,249.72,215.95,223.91,2046.43004
2020-02-27,223.28,238.21,210.07,227.26,3034.41462
2020-02-28,227.8,234.76,214.33,226.66,1914.29499
2020-02-29,228.68,232.92,216.95,216.95,605.28554
2020-03-01,218.92,226.54,212.89,218.0,847.41527
2020-03-02,218.0,234.25,216.31,231.49,1319.55097
2020-03-03,232.03,232.14,220.15,223.78,1171.48179
2020-03-04,223.77,228.58,220.35,224.21,1239.3893
2020-03-05,224.51,233.88,224.37,228.6,2466.55249
2020-03-06,228.05,245.3,227.71,245.3,2517.88507
2020-03-07,246.46,251.78,236.42,236.79,996.4258
2020-03-08,236.59,236.65,195.81,199.0,3861.77435
2020-03-09,199.81,208.28,190.05,202.94,2625.20342
2020-03-10,203.69,205.92,196.0,200.44,846.97272
2020-03-11,200.62,202.69,181.8,194.49,1650.75888
2020-03-12,195.12,250.0,101.0,108.65,13000.77513
2020-03-13,107.87,139.7,64.39,133.27,19549.31514
2020-03-14,134.27,134.63,121.41,122.3,1764.13337
2020-03-15,122.59,133.41,120.64,123.7,2463.03128
2020-03-16,123.21,123.83,101.95,110.4,5198.22665
2020-03-17,111.66,120.58,109.23,116.17,1513.23269
2020-03-18,115.3,118.2,110.47,117.95,895.99068
2020-03-19,119.13,142.71,115.98,136.75,1864.62545
2020-03-20,137.02,152.03,117.44,132.8,4890.83845
2020-03-21,132.33,137.21,126.15,132.4,3332.07633
2020-03-22,131.78,136.41,121.43,122.34,3354.95937
2020-03-23,121.69,136.15,119.41,135.97,2349.19963
2020-03-24,136.22,142.84,132.62,138.67,1431.65673
2020-03-25,137.76,142.18,132.7,136.27,785.72493
2020-03-26,136.37,139.51,133.87,138.36,1073.85174
2020-03-27,138.73,140.82,130.17,131.21,2572.57565
2020-03-28,131.2,132.3,125.08,131.03,3006.63862
2020-03-29,131.03,131.58,124.11,124.5,1102.66091
2020-03-30,124.28,135.08,124.28,132.05,1205.00498
2020-03-31,132.05,134.74,130.49,132.85,3971.60144
2020-04-01,132.85,136.7,128.71,135.67,4316.23326
2020-04-02,135.94,149.51,135.22,140.59,4724.36269
2020-04-03,141.58,146.49,138.05,141.3,1215.9177
2020-04-04,141.26,146.04,139.0,144.29,1055.1755
2020-04-05,144.29,145.26,140.96,143.02,878.41559
2020-04-06,143.01,170.24,143.01,170.24,2645.27634
2020-04-07,170.62,176.17,162.14,164.68,2523.59539
2020-04-08,164.68,173.46,163.72,172.86,2052.51745
2020-04-09,171.86,173.1,165.56,170.21,1649.83831
2020-04-10,169.2,169.88,152.26,157.4,4586.25262
2020-04-11,157.84,162.0,154.18,158.41,1024.98512
2020-04-12,158.65,164.88,155.2,158.72,1838.31293
2020-04-13,158.61,158.61,149.44,156.47,2020.94931
2020-04-14,156.66,162.14,155.55,157.5,1109.74947
2020-04-15,157.52,161.25,152.17,153.14,744.3466
2020-04-16,152.75,174.79,148.69,171.5,5130.15112
2020-04-17,172.94,174.51,168.71,171.06,1052.19269
2020-04-18,171.36,189.26,171.22,187.51,2547.49031
2020-04-19,188.0,188.04,176.21,179.73,1590.45702
2020-04-20,180.06,186.28,167.0,170.5,3312.88087
2020-04-21,170.67,174.36,168.35,170.51,874.00846
2020-04-22,170.5,184.06,170.08,182.84,3254.75538
2020-04-23,183.09,193.55,178.41,184.89,3766.24905
